n_jobs 		 ThreadPoolExecutor 		 ProcessPoolExecutor
n_jobs=1	 ThreadPool=0.912072s	 ProcessPool=1.216470s
n_jobs=2	 ThreadPool=0.907506s	 ProcessPool=0.784164s
n_jobs=3	 ThreadPool=0.907774s	 ProcessPool=0.653525s
n_jobs=4	 ThreadPool=0.910692s	 ProcessPool=0.590720s
n_jobs=5	 ThreadPool=0.911152s	 ProcessPool=0.535453s
n_jobs=6	 ThreadPool=0.910051s	 ProcessPool=0.517685s
n_jobs=7	 ThreadPool=0.922098s	 ProcessPool=0.542264s
n_jobs=8	 ThreadPool=0.908183s	 ProcessPool=0.519952s
n_jobs=9	 ThreadPool=0.908687s	 ProcessPool=0.537926s
n_jobs=10	 ThreadPool=0.920263s	 ProcessPool=0.615148s
n_jobs=11	 ThreadPool=0.923123s	 ProcessPool=0.680995s
n_jobs=12	 ThreadPool=0.910541s	 ProcessPool=0.700575s
n_jobs=13	 ThreadPool=0.909632s	 ProcessPool=0.742520s
n_jobs=14	 ThreadPool=0.911629s	 ProcessPool=0.813887s
n_jobs=15	 ThreadPool=0.917965s	 ProcessPool=0.825409s
n_jobs=16	 ThreadPool=0.912798s	 ProcessPool=0.879344s
n_jobs=17	 ThreadPool=0.922244s	 ProcessPool=0.969264s
n_jobs=18	 ThreadPool=0.919522s	 ProcessPool=0.944726s
n_jobs=19	 ThreadPool=0.922388s	 ProcessPool=1.111491s
n_jobs=20	 ThreadPool=0.927144s	 ProcessPool=1.055645s
